rank,doc_id,filename,tier_final,comp_final,robust_t1,avg_score_carefirst,avg_score_ai_governance,avg_score_intersection,avg_score_evidentiary,intersection_clipped,contested,comp_claude,tier_claude,comp_gpt,tier_gpt,original_path
11,e45d26ebc6fac8310f65a3ea06f56e25653175796f9c01d85bf89ce4e3ecec9d,2023-11-07_185591_Motion_by_Supervisor_Horvath_23-4036_04900756-b50b-4ae1-b987-103e96c6423c.pdf,1,6.875,True,7.0,8.5,6.0,6.0,False,False,7.0,1,6.75,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-11-07_185591_Motion_by_Supervisor_Horvath_23-4036_04900756-b50b-4ae1-b987-103e96c6423c.pdf
12,ce7f0fa647ad097bb38e89aa26676c876eea2ae3d56e0c77d784706d76eb4080,2025-02-11_203805_Health_and_Mental_Health_Cluster_Meeting_Transcript_25-0008_203805.pdf,1,6.55,True,7.5,6.0,6.5,6.0,False,False,7.05,1,6.05,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-02-11_203805_Health_and_Mental_Health_Cluster_Meeting_Transcript_25-0008_203805.pdf
13,e2653bb790d64614ca6b9cbe0bb10f20855f4469bdb4eedbd0200e0820fc6409,2025-06-17_Statement_of_Proceedings_for_6172025_1187291.pdf,1,6.55,True,7.5,5.0,7.0,6.5,False,False,6.3,1,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-06-17_Statement_of_Proceedings_for_6172025_1187291.pdf
14,8505999d83da7b011afd5112dd3122e454f09368b4fdd4632bd8b444960497a0,2022-01-25_165847_Report_12522_22-0443_165847.pdf,1,6.525,True,8.0,7.0,6.0,4.5,False,False,6.35,1,6.7,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2022-01-25_165847_Report_12522_22-0443_165847.pdf
15,0d6ab8ebcbcc849952b985db6c3cf2203b233082e30bfd80ecc5b2054ac46ba8,2024-09-24_195938_SOP_24-4157_195938.pdf,1,6.3,True,8.0,8.0,4.0,6.0,False,False,6.35,1,6.25,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-24_195938_SOP_24-4157_195938.pdf
16,d531d26d220f62097121f13578ad721771f36ced85d8ee9a8c9b3b315c68c1e0,2021-07-27_160475_Report_21-2809_160475.pdf,1,6.275,True,8.0,5.0,6.5,5.0,False,False,6.05,1,6.5,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-07-27_160475_Report_21-2809_160475.pdf
17,a85cb7afa25dd610462f8c93ada9c72a932b9f9cb9b9cd3524759b9c2223f437,2024-12-17_198195_Board_Letter_24-5834_198195.pdf,1,6.2,True,7.5,5.5,6.5,4.5,False,False,6.2,1,6.2,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-12-17_198195_Board_Letter_24-5834_198195.pdf
18,a5517c972d35694efb814b3ad45f5626d44f8dfa2cb85c5bbd9e38098184a467,2024-12-17_198188_Board_Letter_24-5832_198188.pdf,1,6.025,True,9.0,3.5,5.5,6.5,True,False,7.45,1,6.0,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-12-17_198188_Board_Letter_24-5832_198188.pdf
19,92be396d351858d58b88dfcd303c063fd98e49b1e670cacbc702bf1677fc8abf,2024-02-27_189046_Report_24-0751_189046.pdf,2,5.95,True,7.5,4.0,6.0,6.5,True,False,6.55,1,6.05,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-02-27_189046_Report_24-0751_189046.pdf
20,38b5e71d1c032d43b8b2982067af18b3cd82179dfe26cd741cf80a65aa1b883e,2025-10-21_208587_Report_24-0695_208587.pdf,2,5.825,True,8.5,3.5,5.5,6.0,True,False,6.2,1,6.15,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-10-21_208587_Report_24-0695_208587.pdf
21,2c19997118ec245635726d8015f522e2438d8f75ba7bb9de53a3c813bdb87e18,2023-03-21_178882_Motion_by_Supervisors_Mitchell_and_Horvath_23-1066_178882.pdf,1,8.05,False,10,10,7,4,False,False,8.05,1,,,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-03-21_178882_Motion_by_Supervisors_Mitchell_and_Horvath_23-1066_178882.pdf
22,cdede5dde42c2a07602482e1e1970a62fb2432bcb5eb9358e76e64a6d35c3cff,DO-CF-25067956-1.pdf,1,8.05,False,9,9,8,5,False,False,8.05,1,,,C:\Users\Matheus.Ligeiro\Claude Code\Policy Research\Batch 2\Public Record Request\26-199_2026-04-21 01_37_16 -0700\DO-CF-25067956-1.pdf
23,61a754da6145686f0a74f8f65c6db13b18e4ebff464b698cdd1b65b2623beacc,2024-09-24_195369_Board_Letter_24-4121_195369.pdf,1,7.4,False,7.5,8.5,6.5,7.5,False,False,5.95,2,8.85,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-24_195369_Board_Letter_24-4121_195369.pdf
24,ce6aa3cd8343b11996f8a125ef17dd3c668984a2afb922f46a4df0bd14b00088,2020-09-15_149004_Public_CommentCorrespondence_20-5120_149004.pdf,1,7.3,False,8,7,8,5,False,False,7.3,1,,,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2020-09-15_149004_Public_CommentCorrespondence_20-5120_149004.pdf
25,2de5a740b8ec20b19fbf81a6727dba0df8bfc37e970914483f0a94e471fdc790,2024-09-17_195399_Presentation_23-3603_195399.pdf,1,7.05,False,7.0,7.5,7.0,6.5,False,True,5.4,2,8.7,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-17_195399_Presentation_23-3603_195399.pdf
26,bfbb0957926b4e25eb23ba3926ed5a18b1d867144a056e4669cc108614d58b3d,2025-01-07_199164_Motion_by_Supervisor_Solis_25-0236_199164.pdf,1,7.05,False,8,10,6,3,False,False,,,7.05,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-01-07_199164_Motion_by_Supervisor_Solis_25-0236_199164.pdf
27,18cf3b6949c8be49d4e6fc6466621bd008d923cdc93262b2e36580440605a9c4,2020-10-27_150103_Public_Comment_Correspondence_20-5972_150103.pdf,1,7.0,False,10,10,4,4,False,False,7.0,1,,,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2020-10-27_150103_Public_Comment_Correspondence_20-5972_150103.pdf
28,456b079411b9de740a30f223c3cd94193131c1931a46ef099158400e73fad357,2024-09-17_200862_Public_CommentCorrespondence_12-9998_200862.pdf,1,6.95,False,7,7,6,9,False,False,,,6.95,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-17_200862_Public_CommentCorrespondence_12-9998_200862.pdf
29,075af014e82270be949e360337e08b9c621a8ae5767750c7f9c7e489482d9da8,2023-11-07_185731_Motion_by_Supervisor_Horvath_23-4074_185731.pdf,1,6.925,False,9.5,5.0,6.0,8.0,False,True,8.7,1,5.15,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-11-07_185731_Motion_by_Supervisor_Horvath_23-4074_185731.pdf
30,94863c279e66f70fb21d7999e55644b0bcf7757430af299c4277a9d7d0c8f637,2024-10-08_195751_Board_Letter_24-4248_195751.pdf,1,6.9,False,7.0,6.0,7.0,8.0,False,True,4.75,2,9.05,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-10-08_195751_Board_Letter_24-4248_195751.pdf
31,c53b347e3b54efc734e86f674ab0ec034abd13d7990117f21cd622270a1ea21a,2020-01-28_143542_LACDASK_motion_20-0730_143542.pdf,1,6.9,False,8,8,7,3,False,False,6.9,1,,,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2020-01-28_143542_LACDASK_motion_20-0730_143542.pdf
32,b7cd83fe2a4769ca950f2e3717eda2125103538f04af4b86efd036afb0dfec24,2025-02-24_02-24-25_Board_Meeting_Transcript_C_1178513.pdf,1,6.825,False,6.0,7.0,7.0,7.5,False,False,5.85,2,7.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-02-24_02-24-25_Board_Meeting_Transcript_C_1178513.pdf
33,fcf498a2fa96663797bb6e1b3b6a48914ad0650ac478f0ac262fdfb60aa33b7b,2024-10-08_195746_Board_Letter_24-4265_195746.pdf,1,6.8,False,6.0,6.0,7.0,9.0,False,True,4.45,2,9.15,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-10-08_195746_Board_Letter_24-4265_195746.pdf
34,ce2095c5fe5a9665b46e379ada4e9d2b0289d3069fe672995d145bd31d1a6a38,2024-03-19_189715_Revised_motion_by_Supervisors_Solis_and_Horvath_24-0992_189715.pdf,1,6.725,False,8.0,6.0,6.0,7.5,False,True,8.35,1,5.1,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-03-19_189715_Revised_motion_by_Supervisors_Solis_and_Horvath_24-0992_189715.pdf
35,4c9596c02a83de7dcb4fe7b6c45c4a29a0b875b9e0f7a3585d3fb7f235e763df,2021-01-26_153265_Report_21-0538_153265.pdf,1,6.7,False,10,6,6,4,False,False,,,6.7,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-01-26_153265_Report_21-0538_153265.pdf
36,94dcdafd0c849ba6ba20b8ad8df08b931ec20853f03212835ffe8161076ddb93,2024-08-06_194040_Ombudsperson_for_Youth_Semi-Annual_Report_24-3200_194040.pdf,1,6.65,False,7.0,6.0,6.5,7.5,False,True,4.75,2,8.55,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-08-06_194040_Ombudsperson_for_Youth_Semi-Annual_Report_24-3200_194040.pdf
37,ce139ef6837e4bcca193d0893f572ba35e617d26afa06cbc431da00420b1d9bd,2023-11-07_185916_Report_23-4166_185916.pdf,1,6.65,False,9.0,6.5,4.5,8.0,False,False,5.9,2,7.4,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-11-07_185916_Report_23-4166_185916.pdf
38,9b1e0701b4cbb3d0f916c69b6cc712e710e14d2299cd83fae3b0fd4ebed30c46,2022-04-19_168548_Presentation_22-1566_168548.pdf,1,6.65,False,10,8,4,5,False,False,6.65,1,,,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2022-04-19_168548_Presentation_22-1566_168548.pdf
39,97feaac1af15193dda0a3fa9c637670e7552b69c221e3c68891685246284084a,2021-02-09_153457_DOPW_Board_Letter_21-0631_153457.pdf,1,6.65,False,6,8,6,7,False,False,,,6.65,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-02-09_153457_DOPW_Board_Letter_21-0631_153457.pdf
40,5d54160f1737c0ab397e85ccbc6f6fdf0c4637f99d57a716c44a19d926ab4d32,2025-01-07_198979_Motion_by_Supervisors_Horvath_and_Barger_25-0187_198979.pdf,1,6.625,False,7.5,8.0,5.5,5.5,False,False,5.65,2,7.6,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-01-07_198979_Motion_by_Supervisors_Horvath_and_Barger_25-0187_198979.pdf
41,a50cf479abcc0dac68c6a7df2ff40743cd4d0124ff985556d032eaa123de9823,2024-08-06_194156_Motion_by_Supervisor_Mitchell_24-3271_194156.pdf,1,6.575,False,6.5,6.5,6.5,7.0,False,True,4.45,2,8.7,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-08-06_194156_Motion_by_Supervisor_Mitchell_24-3271_194156.pdf
42,45898036e2accafb5d4b3532ff84d25252f6fcd4d14cafbdd9d2383d0710ef64,2024-08-06_194545_SOP_24-3164_194545.pdf,1,6.525,False,6.0,9.5,5.0,6.0,False,True,4.7,2,8.35,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-08-06_194545_SOP_24-3164_194545.pdf
43,9c5975648e12f4b87403f5441682031c8c296f178784688236a9198fdef08662,2024-09-24_196429_SOP_24-4211_196429.pdf,1,6.525,False,6.5,7.0,6.0,7.0,False,False,5.05,2,8.0,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-24_196429_SOP_24-4211_196429.pdf
44,24026117572e7f64fca077fcef70cbb89c37f515370df057ee88979a0e6058ff,2024-08-06_194449_Board_Letter_24-2977_194449.pdf,1,6.5,False,6.0,9.0,5.5,5.5,False,True,3.8,2,9.2,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-08-06_194449_Board_Letter_24-2977_194449.pdf
45,5dda3a8f9a102609595642ef0021e82f219eedb48acb0567487faeee38f0616e,2024-10-08_195824_Board_Letter_24-4343_195824.pdf,1,6.425,False,6.0,7.0,6.5,6.0,False,True,4.0,2,8.85,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-10-08_195824_Board_Letter_24-4343_195824.pdf
46,f0e33055b466ad55a6ce975cc7874396181a39a04680ef83ba245ae1eb613831,2024-10-08_195783_Board_Letter_24-4314_195783.pdf,1,6.425,False,6.5,6.0,6.0,8.0,False,True,4.0,2,8.85,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-10-08_195783_Board_Letter_24-4314_195783.pdf
47,528930f1f3deaf765b5a90d1e18bbd52745ca6742fe7ebb3304fc78bcdf241d5,2025-05-07_05-07-25_Board_Meeting_Transcript_C_1184659.pdf,1,6.4,False,6.0,7.0,6.0,7.0,False,False,5.0,2,7.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-05-07_05-07-25_Board_Meeting_Transcript_C_1184659.pdf
48,0791e1ebb822bd7e2cf54386a0e0e4600c88297026a3356de27447814c37f700,2025-06-10_203883_Motion_by_Supervisors_Horvath_and_Hahn_Updates_Following_Cluster_25-3007_203883.pdf,1,6.325,False,7.0,6.5,6.5,4.5,False,False,7.1,1,5.55,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-06-10_203883_Motion_by_Supervisors_Horvath_and_Hahn_Updates_Following_Cluster_25-3007_203883.pdf
49,09f39deed0fa0a7f27bf1e53355e48f4b5bf9ce7fd26cff01e6e00e78920619b,2024-10-08_196691_Public_Comment_24-4748_196691.pdf,1,6.325,False,8.0,6.0,5.5,6.0,False,False,4.85,2,7.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-10-08_196691_Public_Comment_24-4748_196691.pdf
50,4bb70f190895316d5dbf566bcf728da376e942ae3d6452b813f94579cb1e0597,2025-06-03_Statement_of_Proceedings_for_632025_1186131.pdf,1,6.325,False,5.5,7.5,6.0,6.5,False,False,5.85,2,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-06-03_Statement_of_Proceedings_for_632025_1186131.pdf
51,bd768d334f9f43d18fa1aa41adc8904fbcdf68119e6b903b6a82f77d440b8ae6,2025-02-11_Statement_of_Proceedings_for_2112025_1178011.pdf,1,6.3,False,6.0,7.0,5.5,7.5,False,False,5.8,2,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-02-11_Statement_of_Proceedings_for_2112025_1178011.pdf
52,078d95d623a9f938041a3ef1235e72ae559a22c388b28e1f1bfe8789debc03e6,2023-11-07_185772_Revised_motion_by_Supervisors_Horvath_and_Solis_23-4049_185772.pdf,1,6.25,False,9.5,5.0,4.5,7.0,False,True,8.4,1,4.1,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-11-07_185772_Revised_motion_by_Supervisors_Horvath_and_Solis_23-4049_185772.pdf
53,6816a817b536744fc9b16c468ac4318bddcaea33ca101f4765919354bea091c7,2024-09-24_195350_Board_Letter_24-4104_195350.pdf,1,6.25,False,5.0,8.5,5.0,7.5,False,True,3.5,2,9.0,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-24_195350_Board_Letter_24-4104_195350.pdf
54,c4de2a6963a228dcadd10aa821769fdfd1325e156622b6e391b42f73e7e9c0e5,2025-01-28_Statement_of_Proceedings_for_the_Public_Hearing_Meeting_held_1282025_1177264.pdf,1,6.25,False,6.5,7.5,5.5,5.5,False,False,5.7,2,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-01-28_Statement_of_Proceedings_for_the_Public_Hearing_Meeting_held_1282025_1177264.pdf
55,280f31829bad1f66adbe3bb9cac22e97d8edccf44fbf0126e66ee7968a2c64c2,2022-06-28_172065_SOP_22-2453_172065.pdf,1,6.2,False,6.5,5.0,6.5,7.0,False,False,5.35,2,7.05,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2022-06-28_172065_SOP_22-2453_172065.pdf
56,375f05d3ed19c5e6af45910b17b7a19fb591e86c360311cde637ad63255e2fd8,2021-03-09_154291_DOPW_Board_Letter_21-1065_154291.pdf,1,6.2,False,6,8,6,4,False,False,,,6.2,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-03-09_154291_DOPW_Board_Letter_21-1065_154291.pdf
57,c8c27c9f2533f2d7cd4aa6c6c2deaf9eed5a9dfe73cad5e3801da39eafc403dd,2025-04-15_Statement_of_Proceedings_for_4152025_1182734.pdf,1,6.175,False,6.0,6.5,5.5,7.5,False,False,5.55,2,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-04-15_Statement_of_Proceedings_for_4152025_1182734.pdf
58,c456f856a44277434a27d7e575f3fd6eb7bf9651a1665b321f815d58ea58b9a8,2025-09-30_207467_Motion_by_Supervisor_Mitchell_25-5070_207467.pdf,1,6.15,False,8,8,4,5,False,False,6.15,1,,,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-09-30_207467_Motion_by_Supervisor_Mitchell_25-5070_207467.pdf
59,979f9a590fbba3327742dac8ca3d303245f2be3da4aed8bd0665d1159532c710,2026-03-17_213493_Board_Letter_26-1481_213493.pdf,1,6.125,False,5.0,6.5,5.0,10.0,False,True,9.5,1,2.75,3,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2026-03-17_213493_Board_Letter_26-1481_213493.pdf
60,24df5c86fd587bf6dbbefbb2fb1c11725d20f972019dc507efb1f3480813dd9a,2024-09-10_194695_Board_Letter_24-3569_194695.pdf,1,6.1,False,5.0,7.5,5.5,7.0,False,True,3.4,3,8.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-10_194695_Board_Letter_24-3569_194695.pdf
61,d6096faa42d1bbdf82025e7eb70cb097b174ef1231924a5a2fed04642f837120,2025-05-06_05-06-25_Board_Meeting_Transcript_C_1184658.pdf,1,6.1,False,4.5,8.0,5.5,7.0,False,True,4.4,2,7.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-05-06_05-06-25_Board_Meeting_Transcript_C_1184658.pdf
62,1c7e885db9f06735650bf5616716e06efac0e1bab02240b8dc75e6ea79097ac8,2025-02-11_199752_Board_Letter_25-0708_199752.pdf,1,6.1,False,7,10,4,3,False,False,,,6.1,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-02-11_199752_Board_Letter_25-0708_199752.pdf
63,25c50f342615a93111b44ac6ca629438fc6147c73ac90f4283402c94930777ae,2024-10-22_196453_Board_Letter_24-4671_196453.pdf,1,6.075,False,5.0,8.5,4.5,7.5,False,True,3.35,3,8.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-10-22_196453_Board_Letter_24-4671_196453.pdf
64,a79c2c9a18a7c101415e296af853df788b9b4ae50a4916a704d21bf1d647e27c,2025-03-18_Statement_of_Proceedings_for_3182025_1179478.pdf,1,6.075,False,7.0,5.5,5.0,8.0,False,False,5.35,2,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-03-18_Statement_of_Proceedings_for_3182025_1179478.pdf
65,d588cc36652b9c39e56197eb0a196aad4940601e7597f3251149b943af4a5ef0,2025-06-24_Statement_of_Proceedings_for_the_Public_Hearing_Meeting_held_6242025_1187717.pdf,1,6.05,False,5.0,6.5,6.5,6.0,False,False,5.3,2,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-06-24_Statement_of_Proceedings_for_the_Public_Hearing_Meeting_held_6242025_1187717.pdf
66,051f9aac82e5c95dc2bfeca755df1584da7223aa3aec1087d7c6f7363822fbe4,2023-11-07_185733_Presentation_23-3603_185733.pdf,1,6.025,False,8.5,4.0,5.5,6.5,False,False,7.2,1,4.85,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-11-07_185733_Presentation_23-3603_185733.pdf
67,c42b17cbb190605c3e15504b2ec9adc715a13dcf3cf81a9632cc1249097e1a20,2022-03-15_167181_Public_Comment_22-1161_167181.pdf,1,6.0,False,10.0,4.0,5.0,5.0,False,True,7.75,1,4.25,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2022-03-15_167181_Public_Comment_22-1161_167181.pdf
68,7e0bff1ea37b9245899dcac136dddd7fa94464f1e4b2d92677051458fa0b7438,2024-10-22_196238_Board_Letter_24-4592_196238.pdf,2,5.975,False,5.0,8.5,4.0,8.0,False,True,3.45,3,8.5,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-10-22_196238_Board_Letter_24-4592_196238.pdf
69,b3020fd4a1dac03dd957b04ad97dc46c63ba96296ff0fc307aa349280fa59080,2025-10-07_Statement_of_Proceedings_for_1072025_1194469.pdf,2,5.975,False,5.0,5.0,6.5,8.0,False,False,5.15,2,6.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-10-07_Statement_of_Proceedings_for_1072025_1194469.pdf
70,c830995c231584e70d53c2a6b44e90421d43707f809cbe35df3430141076ffb9,2025-02-11_211092_Community_Services_Cluster_Meeting_Agenda_25-0008_211092.pdf,2,5.975,False,8.0,5.0,5.0,6.5,False,False,5.65,2,6.3,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-02-11_211092_Community_Services_Cluster_Meeting_Agenda_25-0008_211092.pdf
71,a7e9d30f27e858a9c5b14246ae5f45aa072c07a0ed8b5fd9b5e3a932016122f0,2024-09-24_195626_Motion_by_Supervisors_Horvath_and_Barger_24-4211_195626.pdf,2,5.95,False,9.0,3.5,5.5,6.0,True,True,7.65,1,4.6,2,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-24_195626_Motion_by_Supervisors_Horvath_and_Barger_24-4211_195626.pdf
72,2a81563bc4c87c1a95ec9ed46911a9cf24b41e1131357301b19d1bd7a2abe41f,2024-10-08_195807_Board_Letter_24-4326_195807.pdf,2,5.95,False,6.0,7.5,5.0,5.5,False,True,3.4,3,8.5,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-10-08_195807_Board_Letter_24-4326_195807.pdf
73,efcfd6646fa38ff127568c1e0be204d95b4207d43372a8d9dd76f61e77700c98,2025-04-01_Statement_of_Proceedings_for_412025_1181778.pdf,2,5.95,False,4.0,9.0,4.5,7.5,False,True,4.1,2,7.8,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_analysis_docs\2025-04-01_Statement_of_Proceedings_for_412025_1181778.pdf
74,c511ffdd0d9c192108fb633dc23f51e309a189c058e63c0d278e9102afd47299,2023-02-28_178235_Chief_Executive_Office_Report_-_February_17_2023_23-0874_178235.pdf,2,5.95,False,6,6,5,8,False,False,5.95,2,,,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2023-02-28_178235_Chief_Executive_Office_Report_-_February_17_2023_23-0874_178235.pdf
